category,skills
Agile Jobs,"['python', 'web', 'django', 'flask', 'reactjs', 'aws']"
Agile Jobs,"['manual testing', 'selenium', 'c#', 'api', 'api testing', 'testing']"
Agile Jobs,"['ios', 'java', 'php']"
Agile Jobs,"['product strategy', 'agile', 'product management', 'strategy']"
Agile Jobs,"['design', 'maps']"
Agile Jobs,[]
Agile Jobs,[]
Agile Jobs,[]
Agile Jobs,['lead generation']
Agile Jobs,"['agile', 'scrum']"
Agile Jobs,"['agile', 'scrum']"
Linux Jobs,"['endpoint security', 'security', 'windows', 'linux']"
Linux Jobs,"['unix', 'root', 'scripting', 'samba', 'root cause', 'nagios', 'nfs']"
Linux Jobs,[]
Linux Jobs,"['linux', 'cloud']"
Linux Jobs,"['suse', 'itil', 'vmware', 'linux']"
Linux Jobs,[]
Linux Jobs,"['shell scripting', 'c++', 'linux', 'scripting', 'c', 'embedded', 'embedded sql', 'sql']"
Linux Jobs,"['linux', 'cloud', 'cloud computing', 'git', 'network administration', 'computing', 'lunix', 'system administration', 'windows', 'sql']"
Linux Jobs,"['ansible', 'python', 'linux', 'ruby', 'puppet', 'aws', 'perl']"
Linux Jobs,"['patch management', 'linux']"
Linux Jobs,"['linux', 'system administration']"
Linux Jobs,"['c++', 'linux', 'application', 'c', 'embedded', 'embedded software', 'firmware']"
Linux Jobs,"['linux kernel', 'linux', 'security', 'kernel programming', 'kernel', 'testing']"
Linux Jobs,"['java', 'linux', 'plsql', 'apex', 'sql']"
Linux Jobs,"['spring', 'aws', 'spring boot', 'boot']"
Linux Jobs,"['spring', 'aws', 'spring boot', 'boot']"
Linux Jobs,[]
Linux Jobs,"['vmware', 'linux', 'intune', 'security', 'active directory', 'network administrator', 'firewall', 'windows intune', 'network security', 'windows', 'aws', 'azure']"
Linux Jobs,"['agile', 'linux', 'test cases', 'ios', 'oracle', 'ubuntu', 'oracle agile', 'postgresql', 'windows', 'sql', 'mysql']"
Linux Jobs,"['firmware', 'i2c', 'linux']"
Linux Jobs,"['spring security', 'java', 'cassandra', 'security', 'spring boot', 'boot', 'spring', 'microservices', 'redis', 'kafka']"
Linux Jobs,"['nutanix', 'vmware', 'linux']"
Linux Jobs,[]
Linux Jobs,"['vm', 'linux']"
Linux Jobs,"['apache spark', 'python', 's3', 'scala', 'glue', 'spark', 'ec2', 'aws', 'apache']"
Html5 Jobs,"['html5', 'python', 'django']"
Html5 Jobs,"['html5', 'web design', 'web', 'design', 'css', 'bootstrap']"
Html5 Jobs,"['java', 'rest', 'sass', 'html', 'css', 'angular', 'bootstrap', 'less']"
Html5 Jobs,"['html5', 'angularjs', 'angular', 'bootstrap']"
Html5 Jobs,"['html5', 'javascript', 'html', 'css']"
Html5 Jobs,"['html5', 'javascript', 'nodejs', 'css']"
Html5 Jobs,"['layout', 'design']"
Html5 Jobs,"['html5', 'javascript', 'php', 'cms', 'jquery']"
Html5 Jobs,[]
Html5 Jobs,"['html5', 'javascript', 'angular', 'bootstrap']"
Html5 Jobs,"['laravel', 'html5', 'php', 'wordpress']"
Html5 Jobs,"['aspnet', 'javascript', 'web', 'angular', 'sql server', 'mvc', 'api', 'aspnet mvc', 'sql', 'web api']"
Html5 Jobs,"['html5', 'javascript', 'nosql', 'oauth', 'typescript', 'css', 'bootstrap']"
Html5 Jobs,"['onbase', 'kofax']"
Html5 Jobs,"['html5', 'json', 'neo4j', 'javascript', 'responsive design', 'git', 'html', 'maven', 'jquery', 'design', 'angularjs', 'sql', 'mongodb', 'design patterns', 'css', 'soap', 'tomcat']"
Html5 Jobs,"['ajax', 'html5', 'javascript', 'plugins', 'css', 'jquery']"
Html5 Jobs,"['python', 'django', 'developers']"
Html5 Jobs,"['javascript', 'html', 'angular', 'css']"
Html5 Jobs,"['javascript', 'php', 'wordpress', 'html', 'css', 'jquery', 'mysql']"
Html5 Jobs,"['java', 'core java', 'ee', 'hibernate', 'spring', 'struts']"
Html5 Jobs,"['html5', 'javascript', 'web', 'nodejs', 'amazon', 'angular', 'reactjs', 'cordova', 'web services', 'gap']"
Html5 Jobs,"['angularjs', 'angular', 'typescript', 'karma']"
Html5 Jobs,"['net core', 'html5', 'aspnet', 'xml', 'javascript', 'c#', 'mvc', 'net', 'aspnet mvc', 'jquery', 'angular']"
Html5 Jobs,"['html5', 'javascript']"
Html5 Jobs,"['mvc', 'web', 'web api', 'api']"
Cloud Jobs,"['cloud security', 'cloud', 'security', 'cloud services', 'cloud computing', 'cloud storage', 'cloud applications', 'computing', 'storage', 'aws']"
Cloud Jobs,[]
Cloud Jobs,"['aws', 'amazon', 'web', 'cloud']"
Cloud Jobs,"['it', 'recruiter', 'it recruitment']"
Cloud Jobs,"['operations', 'bpo', 'outsourcing', 'office operations', 'excel', 'reporting', 'office', 'ms']"
Cloud Jobs,"['office', 'chat']"
Cloud Jobs,"['operations', 'office']"
Cloud Jobs,"['big data', 'linux', 'nodejs', 'cloud', 'microsoft', 'microsoft azure', 'ops', 'devops', 'mongodb', 'ssl', 'docker', 'azure']"
Cloud Jobs,"['oracle', 'oracle erp', 'cloud development', 'cloud']"
Cloud Jobs,"['emulator', 'mainframe', 'cloud', 'microfocus', 'clarity']"
Cloud Jobs,"['emulator', 'mainframe', 'cloud', 'microfocus', 'clarity']"
